Transaction_ID,Date,Transaction_Type,Department,Vendor,Payment_Method,Category,Approved_by,Recurring,Project_Code,Amount,Is_Fraudulent
3f07a2a7-626d-45f5-b941-befd80169997,2022-11-15,expense,R&D,Hood Ltd,card,training,,False,PRJ_016,-4337.03,False
9dffc6ab-d54b-464b-a088-3b398a8405ee,2022-03-18,investment,IT,"Valdez, Robinson and Fernandez",card,salary,CEO,True,PRJ_005,-12397.23,False
78fdc409-c3a2-49e8-942d-95b9cee9d122,2021-05-14,expense,HR,"Henry, Hill and Johnson",bank_transfer,software,CTO,False,PRJ_008,-5348.3,False
18b9261e-5318-4d28-8d65-8ff4efe294d5,2021-08-05,expense,Finance,Ford-Murphy,cash,salary,HR_Manager,False,PRJ_019,-2891.18,False
26ffeeee-5108-457e-8d74-fba0180aa3f2,2023-06-03,income,R&D,"Lewis, Carroll and Walker",card,operational,CEO,False,PRJ_005,8854.2,False
43e5b66c-dec5-41cc-a1aa-2dddc78fddee,2022-05-12,expense,Marketing,"Valdez, Robinson and Fernandez",cash,training,CEO,True,PRJ_020,-2370.44,False
b1e624d2-dbc7-4a38-a849-4fe514a2ffa6,2024-01-29,expense,IT,"Russo, Johnson and Torres",crypto,travel,CFO,False,PRJ_013,-1380.97,False
a4b3b66d-5e95-4d83-9ac3-91b6cd653da1,2022-10-25,expense,Finance,"Jones, Ramirez and Reed",bank_transfer,software,COO,True,PRJ_013,-5540.55,False
bc6f8efb-84b4-4b0a-98d4-92b1d252bb7d,2023-02-03,expense,Sales,Hays-Thomas,bank_transfer,services,CTO,False,PRJ_011,-5190.62,False
4adfa9c1-dfb9-43d7-83aa-55a642fd6022,2023-12-13,income,IT,Blankenship and Sons,cash,software,CFO,False,PRJ_004,9694.84,False
9abe9bb1-20e8-47d9-8b40-f6a9f8ce4e98,2021-07-25,income,Sales,"Alexander, White and Banks",bank_transfer,training,COO,False,PRJ_016,12262.23,False
26fc9cfc-bcb1-45bb-873e-f2853af02055,2023-02-06,income,Finance,George-Carpenter,card,travel,CEO,True,PRJ_010,12969.58,False
adc97de1-4b5b-4876-bb50-b74abd8df641,2021-04-09,income,Sales,,card,training,CEO,False,PRJ_009,11269.64,False
e1f83efa-c2bc-4d06-80c3-fbcb984d3df8,2022-10-30,investment,HR,"Valdez, Robinson and Fernandez",bank_transfer,travel,HR_Manager,True,PRJ_007,-15726.26,False
825a0b41-23e3-41c9-ad9e-3867d079dfb1,2023-04-11,expense,IT,"Gomez, Hopkins and Thompson",bank_transfer,operational,,False,,-6138.05,False
63e78071-da23-4a16-8605-c2be79015e4b,2021-04-09,expense,Marketing,Stevens Group,card,salary,CTO,True,PRJ_020,-6318.01,False
ffbc4636-8b0a-49b5-a82f-688ee9e358ee,2023-09-03,income,Sales,Davis Inc,bank_transfer,services,CFO,False,PRJ_018,13759.27,False
40f388f3-6799-453a-8f46-2a5c6c7610c1,2021-01-02,income,HR,"Jones, Ramirez and Reed",bank_transfer,travel,CTO,False,PRJ_003,8278.21,False
1e76b25f-c1b1-46cb-8c4d-c1220ccee190,2023-01-22,expense,Finance,"Watts, Lawson and Durham",bank_transfer,travel,COO,True,PRJ_008,-6990.81,False
a4227a36-2e5a-40d4-8b79-24c84f5b7e5f,2022-06-05,expense,Finance,Davis Inc,bank_transfer,operational,CEO,False,PRJ_003,-6374.45,False
e9671f00-ad24-4ff0-8420-b0c1d9cc46ee,2024-02-05,income,HR,Gonzalez Group,bank_transfer,operational,COO,False,PRJ_002,11844.52,False
1ff3ed00-ced3-4d46-a0cc-7aea8d519386,2023-08-30,refund,Marketing,"Gonzalez, Campos and Smith",bank_transfer,travel,HR_Manager,False,PRJ_001,649.99,False
5ce17872-502a-4d28-8cf4-c96ad15199f7,2021-08-05,expense,R&D,"Clark, Stuart and Bennett",card,software,HR_Manager,False,PRJ_018,-2745.25,False
dafc678f-ba87-4638-a013-37f245082c64,2022-06-24,income,Sales,"Henry, Hill and Johnson",bank_transfer,operational,COO,False,PRJ_010,15053.05,False
4d4f38db-4246-4333-bf41-c7f31121b66c,2021-04-30,income,IT,Stevens Group,card,software,HR_Manager,False,PRJ_003,9626.72,False
0cecb07e-4252-4746-b1d2-fa0e508792b3,2023-05-26,expense,Sales,"Valdez, Robinson and Fernandez",card,software,HR_Manager,True,PRJ_013,-1760.35,False
34787362-9094-41ef-807c-4ec90d0543c5,2022-12-21,expense,Marketing,Hicks and Sons,bank_transfer,training,CEO,False,PRJ_007,-3880.6,False
a7e6c345-09ff-4d13-97fe-2603f2c7d8ac,2022-06-25,income,IT,"Valdez, Robinson and Fernandez",card,training,CFO,True,PRJ_010,13149.98,False
8540b4bd-ea78-4a0a-9fcc-e454e94d7c08,2022-01-22,income,Marketing,"Jones, Ramirez and Reed",bank_transfer,salary,CTO,False,PRJ_012,10239.27,False
7de19503-71d3-414e-af7e-c0a5e961bbce,2021-10-12,expense,R&D,"Jones, Ramirez and Reed",bank_transfer,hardware,HR_Manager,False,PRJ_009,-7992.4,False
4c0a8dd6-2fb7-4b7d-ad8e-df8df1fbd9dd,2024-04-16,income,HR,Davis Inc,cash,salary,COO,False,PRJ_019,8093.73,False
69f91fa0-28a1-40fa-9359-a423e6ae2bdd,2021-04-23,expense,R&D,"Jones, Ramirez and Reed",card,training,CTO,False,PRJ_014,-5605.92,False
3dcbcc2e-dc00-4d8d-9b11-7a93ccbfb5f8,2023-12-01,income,Finance,Chan Ltd,bank_transfer,travel,COO,True,PRJ_011,11593.29,False
6aef32a7-e324-4fa7-9e4c-241428880d23,2021-02-07,transfer,HR,"Valdez, Robinson and Fernandez",card,hardware,CTO,True,PRJ_013,-965.68,False
